  SN    Year MoDaHrMnSecs    Lat      Lon    Dep    MMf  sd2   n2  nMw  
426125. 2023 0314163559.20  35.5300  22.1500  10    5.5 0.100   1   4   
426129. 2023 0518185851.10  34.9900  24.8500  11    5.0 0.100   1   5   
426130. 2023 0608123353.30  38.6000  22.9600  10    5.0 0.100   1   4   
426132. 2023 1103062638.30  38.6900  23.5600  10    5.1 0.100   1   4   
426133. 2023 1204074220.50  40.4400  28.8500  10    5.1 0.100   1   4   
426135. 2024 0127051919.50  37.9800  27.1200  11    5.1 0.100   1   4   
426136. 2024 0314030647.80  42.9500  18.6900  16    5.5 0.100   1   3   
426137. 2024 0329071248.30  37.3200  21.2800  29    5.9 0.100   1   6   
426142. 2024 0706173428.00  37.7400  21.1900   8    5.0 0.100   1   4   
426143. 2024 0721040126.90  34.8700  23.2400  10    5.4 0.100   1   6   
426144. 2024 0807082352.20  34.6800  24.9000  10    5.1 0.100   1   6   
426149. 2024 1103170352.20  40.1300  23.2500   9    5.4 0.100   1   7   
