SS ID,Strike,Dip Direction,Dip,Rake,Length (km),Width (km),Min Depth (km),Max Depth (km),Rupture Area,Average slip (m),Mw (W&C94),Mw (K&A),M0 (Nm),LonA,LatA,LonB,LatB,Lon1,Lat1,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Slip rate
144.0,174.0,264.0,45.0,285.0,23.0,13.5,0.0,9.5,310.5,0.68,6.5,6.5,6.35e+18,22.2564,36.6584,22.2833,36.4526,22.2564,36.6584,22.2833,36.4526,22.1771,36.4437,22.15,36.6494,
145.0,332.0,62.0,60.0,250.0,52.5,24.0,0.0,20.8,1260.0,1.43,7.1,7.1,5.41e+19,22.4749,36.9117,22.1969,37.3285,22.4749,36.9117,22.1969,37.3285,22.3166,37.3792,22.5943,36.9623,
146.0,181.0,271.0,60.0,280.0,48.0,22.5,0.0,19.5,1080.0,1.32,7.0,7.0,4.28e+19,22.7703,36.7347,22.7609,36.3031,22.7703,36.7347,22.7609,36.3031,22.6352,36.3049,22.6442,36.7365,
148.0,188.0,278.0,60.0,270.0,54.0,24.5,0.0,21.2,1323.0,1.47,7.1,7.1,5.83e+19,23.5623,35.7677,23.4792,35.2868,23.5623,35.7677,23.4792,35.2868,23.3454,35.3021,23.428,35.783,
149.0,179.0,269.0,60.0,270.0,32.0,17.0,0.0,14.7,544.0,0.92,6.7,6.7,1.5e+19,23.726,35.7044,23.7322,35.4167,23.726,35.7044,23.7322,35.4167,23.6383,35.4153,23.632,35.7031,
150.0,57.0,147.0,60.0,230.0,27.0,15.0,0.0,13.0,405.0,0.78,6.6,6.6,9.54e+18,23.3896,35.0336,23.6386,35.1659,23.3896,35.0336,23.6386,35.1659,23.6834,35.1093,23.4346,34.9771,
151.0,94.0,184.0,60.0,270.0,59.0,26.0,0.0,22.5,1534.0,1.59,7.2,7.2,7.32e+19,23.6392,35.1768,24.2866,35.1397,23.6392,35.1768,24.2866,35.1397,24.2764,35.0231,23.6294,35.0601,
152.0,95.0,185.0,60.0,270.0,37.5,19.0,0.0,16.5,712.5,1.06,6.8,6.8,2.26e+19,24.1383,35.199,24.5493,35.1697,24.1383,35.199,24.5493,35.1697,24.5401,35.0845,24.1293,35.1139,
153.0,101.0,191.0,60.0,270.0,39.0,19.5,0.0,16.9,760.5,1.1,6.9,6.9,2.5e+19,24.2984,35.1413,24.7193,35.0744,24.2984,35.1413,24.7193,35.0744,24.6987,34.9883,24.2781,35.0552,
156.0,195.0,285.0,50.0,260.0,32.0,17.0,0.0,13.0,544.0,0.92,6.7,6.7,1.5e+19,25.3783,35.3116,25.2872,35.0337,25.3783,35.3116,25.2872,35.0337,25.1712,35.0591,25.2621,35.3371,
157.0,77.0,167.0,55.0,260.0,37.5,19.0,0.0,15.6,712.5,1.06,6.8,6.8,2.26e+19,25.2942,34.9871,25.6954,35.063,25.2942,34.9871,25.6954,35.063,25.7222,34.9675,25.3212,34.8916,
158.0,209.0,299.0,70.0,210.0,45.0,12.0,0.0,11.3,540.0,1.09,6.8,6.8,1.76e+19,26.0032,35.3451,25.7632,34.9912,26.0032,35.3451,25.7632,34.9912,25.7238,35.0091,25.9637,35.363,
168.0,65.0,155.0,60.0,330.0,41.0,11.5,0.0,10.0,471.5,1.95,6.7,6.9,3.13e+19,28.9917,35.9427,29.4048,36.0985,28.9917,35.9427,29.4048,36.0985,29.4318,36.0516,29.0187,35.8958,
169.0,65.0,155.0,60.0,290.0,32.0,17.0,0.0,14.7,544.0,0.81,6.7,6.7,1.5e+19,29.6681,36.1533,29.9914,36.2749,29.6681,36.1533,29.9914,36.2749,30.0314,36.2056,29.7082,36.084,
